Harrisons Malayalam Ltd,HARRMALAYA.BO,,,
Federal Bank Ltd,FEDERALBNK.BO,,,
Tata Steel Ltd,TATASTEEL.BO,,,
SKF India Ltd,SKFINDIA.BO,,,
Ashok Leyland Ltd,ASHOKLEY.BO,,,
Cummins India Ltd,CUMMINSIND.BO,,,
Tata Communications Ltd,TATACOMM.BO,,,
Abbott India Ltd,ABBOTINDIA.BO,,,
Bajaj Holdings & Investment Ltd,BAJAJHLDNG.BO,,,
Bharat Forge Ltd,BHARATFORG.BO,,,
Escorts Ltd,ESCORTS.BO,,,
Hindustan Motors Ltd,HINDMOTORS.BO,,,
Larsen & Toubro Ltd,LT.BO,,,
Mahindra & Mahindra Ltd,M&M.BO,,,
Bosch Ltd,BOSCHLTD.BO,,,
Premier Ltd,PREMIER.BO,,,
Bharat Petroleum Corpn Ltd,BPCL.BO,,,
Siemens Ltd,SIEMENS.BO,,,
Tata Motors Ltd,TATAMOTORS.BO,,,
Voltas Ltd,VOLTAS.BO,,,
Great Eastern Shipping Co Ltd,GESHIP*.BO,,,
Deepak Fertilizers &Petrochemicals,DEEPAKFERT.BO,,,
Excell Industries Ltd,EXCELINDUS.BO,,,
GARWARE HI-TECH FILMS Ltd,GRWRHITECH.BO,,,
GlaxoSmithkline Pharmaceuticals Ltd,GLAXO.BO,,,
Gujarat Narmada Valley FertCoLtd,GNFC.BO,,,
Novartis India Ltd,NOVARTIND.BO,,,
Sanofi India Ltd,SANOFI.BO,,,
Pfizer Ltd,PFIZER.BO,,,
Gujarat State Fertilizers & ChemLtd,GSFC.BO,,,
Hindustan Unilever Ltd,HINDUNILVR.BO,,,
Akzo Nobel India Ltd,AKZOINDIA.BO,,,
NOCIL Ltd,NOCIL.BO,,,
Tata Chemicals Ltd,TATACHEM.BO,,,
Tamilnadu Petroproducts Ltd,TNPETRO.BO,,,
Zuari Global Ltd,ZUARIGLOB.BO,,,
Nestle India Ltd,NESTLEIND.BO,,,
TATA CONSUMER PRODUCTS Ltd,TATACONSUM.BO,,,
Asian Paints Ltd,ASIANPAINT.BO,,,
Britannia Industries Ltd,BRITANNIA.BO,,,
Colgate-Palmolive (India) Ltd,COLPAL.BO,,,
EIH Ltd,EIHOTEL.BO,,,
Indian Hotels Co Ltd,INDHOTEL.BO,,,
Castrol India Ltd,CASTROLIND.BO,,,
ITC Ltd,ITC.BO,,,
Apollo Tyres Ltd,APOLLOTYRE.BO,,,
Ceat Ltd,CEATLTD.BO,,,
Modi Rubber Ltd,MODIRUBBER.BO,,,
Finolex Industries Ltd,FINOLEXIND.BO,,,
Sunrise Industrial Traders Ltd,SUNRINV.BO,,,
Gold Rock Investments Ltd,ZGOLDINV.BO,,,
Peoples Investments Ltd,PEOPLIN.BO,,,
Dalal Street Investments Ltd,DSINVEST.BO,,,
Centrum Capital Ltd,CENTRUM.BO,,,
Kartik Investments Trust Ltd,KARTKIN.BO,,,
TCI Finance Ltd,TCIFINANCE.BO,,,
Kratos Energy & Infrastructure Ltd,KRATOSENER.BO,,,
ANTARIKSH INDUSTRIES Ltd,ANTARIKSH.BO,,,
Industrial Investment Trust Ltd,IITL.BO,,,
Industrial & Prudential Inv Co Lt,INDPRUD.BO,,,
Tata Investment Corporation Ltd,TATAINVEST.BO,,,
Jayabharat Credit Ltd,JAYBHCR.BO,,,
PRISMX GLOBAL VENTURES Ltd,PRISMX.BO,,,
Motor & General Finance (MGF) Lt,MOTOGENFIN.BO,,,
Rapid Investments Ltd,RAPIDIN.BO,,,
Walchand Peoplefirst Ltd,WALCHPF.BO,,,
Swastik Safe Deposit & Invest Ltd,ZSWASTSA.BO,,,
WH Brady & Co Ltd,WHBRADY.BO,,,
TechNVision Ventures Ltd,TECHNVISN.BO,,,
Shaily Engineering Plastics Ltd,SHAILY.BO,,,
Bombay Burmah Trading Corpn Ltd,BBTC.BO,,,
Bombay Cycle & Motor Agency Ltd,BOMBCYC.BO,,,
Greaves Cotton Ltd,GREAVESCOT.BO,,,
Muller & Phipps (India) Ltd,MULLER.BO,,,
Amalgamated Electricity Co Ltd,AMALGAM.BO,,,
Anand Projects Ltd,ANANDPROJ.BO,,,
India Nivesh Ltd,INDIANVSH.BO,,,
Coastal Corporation Ltd,COASTCORP.BO,,,
Chowgule Steamships Ltd,CHOWGULSTM.BO,,,
Global Offshore Services Ltd,GLOBOFFS.BO,,,
ASI INDUSTRIES Ltd,ASIIL.BO,,,
Sagar Cements Ltd,SAGCEM.BO,,,
Deccan Cements Ltd,DECCANCE.BO,,,
Mangalam Cement Ltd,MANGLMCEM.BO,,,
NCL Industries Ltd,NCLIND.BO,,,
Saurashtra Cement Ltd,SAURASHCEM.BO,,,
Shree Digvijay Cement Co Ltd,SHREDIGCEM.BO,,,
BOROSIL RENEWABLES Ltd,BORORENEW.BO,,,
LERTHAI FINANCE Ltd,LERTHAI.BO,,,
Raasi Refractories Ltd,RASSIREF.BO,,,
Triveni Glass Ltd,TRIVENIGQ.BO,,,
Nilachal Refractories Ltd,NILACHAL.BO,,,
ANDHRA PAPER Ltd,ANDHRAPAP.BO,,,
Balkrishna Industries Ltd,BALKRISIND.BO,,,
Orient Paper & Industries Ltd,ORIENTPPR.BO,,,
Citadel Realty And Developers Ltd,CITADEL.BO,,,
Rollatainters Ltd,ROLLT.BO,,,
Seshasayee Paper & Boards Ltd,SESHAPAPER.BO,,,
Solid Containers Ltd,SOLIDCO.BO,,,
Shree Bhawani Paper Mills Ltd,SHBHAWPA.BO,,,
NATH INDUSTRIES Ltd,NATHIND.BO,,,
Vapi Paper Mills Ltd,VAPIPPR.BO,,,
Sintex Industries Ltd,SINTEX.BO,,,
DCM Ltd,DCM.BO,,,
Gaekwar Mills Ltd,ZGAEKWAR.BO,,,
Forbes & Company Ltd,FORBESCO.BO,,,
HP Cotton Textile Mills Ltd,HPCOTTON.BO,,,
United Interactive Ltd,UNITEDINT.BO,,,
JAMSHRI REALTY Ltd,JAMSHRI.BO,,,
Katare Spinning Mills Ltd,KATRSPG.BO,,,
Kesoram Industries Ltd,KESORAMIND.BO,,,
Lakshmi Mills Company ltd,LAKSHMIMIL.BO,,,
Vardhman Textiles Limted,VTL.BO,,,
Peninsula Land Ltd,PENINLAND.BO,,,
Pasupati Spg & Wvg Mills Ltd,PASUSPG.BO,,,
The Phoenix Mills Ltd,PHOENIXLTD.BO,,,
Marathon Nextgen Realty Ltd,MARATHON.BO,,,
Raja Bahadur International Ltd,RAJABAH.BO,,,
Reliance Chemotex Industries Ltd,RELCHEMQ.BO,,,
Ruby Mills Ltd,RUBYMILLS.BO,,,
Simplex Realty Ltd,SIMPLXREA.BO,,,
Swan Energy Ltd,SWANENERGY.BO,,,
Victoria Mills Ltd,VICTMILL.BO,,,
SV Trading & Agencies Ltd,ZSVTRADI.BO,,,
Svaraj Trading & Agencies Ltd,ZSVARAJT.BO,,,
Shree Salasar Investment Ltd,SALSAIN.BO,,,
Indsoya Ltd,INDSOYA.BO,,,
Zodiac Ventures Ltd,ZODIACVEN.BO,,,
Veer Energy & Infrastructure Ltd,VEERENRGY.BO,,,
SW Investments Ltd,SW1.BO,,,
Tilak Ventures Ltd,TILAK.BO,,,
K K Fincorp Ltd,KKFIN.BO,,,
Unijolly Investments Co Ltd,UNIJOLL.BO,,,
Wagend Infra Venture Ltd,WAGEND.BO,,,
Elcid Investments Ltd,ELCIDIN.BO,,,
Healthy Investments Ltd,HEALINV.BO,,,
Sahara One Media And Entertainment Ltd,SAHARA.BO,,,
Shreenath Investments Co Ltd,SHRENTI.BO,,,
Banswara Syntex Ltd,BANSWRAS.BO,,,
Modella Woollens Ltd,MODWOOL.BO,,,
Modipon Ltd,MODIPON.BO,,,
Shri Dinesh Mills Ltd,SHRIDINE.BO,,,
SRF Ltd,SRF.BO,,,
Siyaram Silk Mills Ltd,SIYSIL.BO,,,
Swadeshi Polytex Ltd,SWADPOL.BO,,,
Satyam Silk Mills Ltd,ZSATYASL.BO,,,
Bharat Bijlee Ltd,BBL.BO,,,
Elpro International Ltd,ELPROINTL.BO,,,
GEE Ltd,GEE.BO,,,
Hind Rectifiers Ltd,HIRECT.BO,,,
Indo National Ltd,NIPPOBATRY.BO,,,
Zensar Technologies Ltd,ZENSARTECH.BO,,,
Jyoti Ltd,JYOTI.BO,,,
JSL Industries Ltd,JSLINDL.BO,,,
Kaycee Industries Ltd,KAYCEEI.BO,,,
Indokem Ltd,INDOKEM.BO,,,
Panasonic Energy India Co Ltd,PANAENERG.BO,,,
Nelco Ltd,NELCO.BO,,,
Permanent Magnets Ltd,PERMAGN.BO,,,
High Energy Batteries (India) Ltd,HIGHENE.BO,,,
Standard Batteries Ltd,STDBAT.BO,,,
Universal Cables Ltd,UNIVCABLES.BO,,,
Delton Cables Ltd,DLTNCBL.BO,,,
Lakshmi Electrical Control Systems,LAKSELEC.BO,,,
MODULEX CONSTRUCTION TECHNOLOGIES Ltd,MODULEX.BO,,,
DELTA MANUFACTURING Ltd ,DELTAMAGNT.BO,,,
Confidence Finance And Trading Ltd,CONFINT.BO,,,
RAVINDRA ENERGY Ltd,RELTD.BO,,,
GD Trading & Agencies Ltd,GDTRAGN.BO,,,
Multipurpose Trading & Agencies Ltd,ZMULTIPU.BO,,,
Ridhi Synthetics Ltd,RIDHISYN.BO,,,
Softbpo Global Services Ltd,SOFTBPO.BO,,,
Nyssa Corporation Ltd,NYSSACORP.BO,,,
FLOMIC GLOBAL LOGISTICS Ltd,FLOMIC.BO,,,
Krishna Ventures Ltd,KRISHNA.BO,,,
Ganesh Holding Ltd,GANHOLD.BO,,,
Uni-Abex Alloy Products Ltd,UNIABEXAL.BO,,,
Sarda Energy & Minerals Ltd,SARDAEN.BO,,,
Bhagwati Autocast Ltd,BGWTATO.BO,,,
Bombay Wire Ropes Ltd,BOMBWIR.BO,,,
Indian Bright Steel Co Ltd,IBRIGST.BO,,,
Indian Hume Pipe Co Ltd,INDIANHUME.BO,,,
Indian Link Chain Mnfrs Ltd,INLCM.BO,,,
Investment & Precision Castings Ltd,INVPRECQ.BO,,,
Informed Technologies India Ltd,INFORTEC.BO,,,
Kaira Can Co Ltd,KAIRA.BO,,,
Orient Abrasives Ltd,ORIENTABRA.BO,,,
National Standard (India) Ltd,NATIONSTD.BO,,,
Duncan Engineering Ltd,DUNCANENG.BO,,,
Sandur Manganese & Iron Ores Ltd,SANDUMA.BO,,,
Stovec Industries Ltd,STOVACQ.BO,,,
Tayo Rolls Ltd,TATAYODOGA.BO,,,
Tinplate Company of India Ltd,TINPLATE.BO,,,
CHOLAMANDALAM FINANCIAL HOLDINGS Ltd,CHOLAHLDNG.BO,,,
Welcast Steels Ltd,ZWELCAST.BO,,,
Western Ministil Ltd,WMINIMT.BO,,,
Automotive Axles Ltd,AUTOAXLES.BO,,,
Automobile Corpn of Goa Ltd,ACGL.BO,,,
Setco Automotive Ltd,SETCO.BO,,,
India Radiators Ltd,INRADIA.BO,,,
Scooters India Ltd,SCOOTER.BO,,,
Talbros Automotive Components Ltd,TALBROAUTO.BO,,,
ZF Steering Gear (India) Ltd,ZFSTEERING.BO,,,
SML ISUZU Ltd,SMLISUZU.BO,,,
TIL Ltd,TIL.BO,,,
Eicher Motors Ltd,EICHERMOT.BO,,,
JAINEX AAMCOL LTD,JAINEX.BO,,,
Alfred Herbert (India) Ltd,ALFREDHE.BO,,,
Veljan Denison Ltd,VELJAN.BO,,,
Dynamatic Technologies Ltd,DYNAMATECH.BO,,,
GG Dandekar Machine Works Ltd,GGDANDE.BO,,,
GMM Pfaudler Ltd,GMM.BO,,,
Kirloskar Pneumatic CoLtd,KIRLPNU.BO,,,
Tulive Developers Ltd,TULIVE.BO,,,
KPT INDUSTRIES Ltd,KPT.BO,,,
Lakshmi Automatic Loom Works Ltd,LXMIATO.BO,,,
Lynx Machinery & Commercials Ltd,LYNMC.BO,,,
Manugraph India Ltd,MANUGRAPH.BO,,,
Mirch Technologies (India) Ltd,MIRCH.BO,,,
Nesco Ltd,NESCO.BO,,,
Integra Engineering India Ltd,INTEGRAEN.BO,,,
Revathi Equipment Ltd,REVATHI.BO,,,
Texmaco Infrastructure & Holdings Ltd,TEXINFRA.BO,,,
Wendt (India) Ltd,WENDT.BO,,,
Sindu Valley Technologies Ltd,SINDUVA.BO,,,
Responsive Industries Ltd,RESPONIND.BO,,,
Shyamkamal Investments Ltd,SHYMINV.BO,,,
Maharashtra Corporation Ltd,MAHACORP.BO,,,
DOLAT ALGOTECH Ltd,DOLATALGO.BO,,,
Westlife Development Ltd,WESTLIFE.BO,,,
Zee Entertainment Enterprises Ltd,ZEEL.BO,,,
Goldcrest Corporation Ltd,GOLDCORP.BO,,,
Kovalam Inv & Trading CoLtd,ZKOVALIN.BO,,,
SVP Global Ventures Ltd,SVPGLOB.BO,,,
Multiplus Holdings Ltd,MULTIIN.BO,,,
Skyline Millars Ltd,SKYLMILAR.BO,,,
Bimetal Bearings Ltd,BIMETAL.BO,,,
Taparia Tools Ltd,TAPARIA.BO,,,
Bharat Gears Ltd,BHARATGEAR.BO,,,
Brady & Morris Engineering Co Ltd,BRADYM.BO,,,
La Tim Metal & Industries Ltd,LATIMMETAL.BO,,,
Elecon Engineering CoLtd,ELECON.BO,,,
Deccan Bearings Ltd,DECANBRG.BO,,,
Grauer & Weil (India) Ltd,GRAUWEIL.BO,,,
HIM TEKNOFORGE Ltd,HIMTEK.BO,,,
Gabriel India Ltd,GABRIEL.BO,,,
Hercules Hoists Ltd,HERCULES.BO,,,
ALGOQUANT FINTECH Ltd,AQFINTECH.BO,,,
IFB Industries Ltd,IFBIND.BO,,,
Singer India Ltd,SINGER.BO,,,
International Combustion (India) Lt,INTLCOMBQ.BO,,,
Federal-Mogul Goetze (India) Ltd,FMGOETZE.BO,,,
Josts Engineering Co Ltd,JOSTS.BO,,,
Schaeffler India Ltd,SCHAEFFLER.BO,,,
Rane Holdings Ltd,RANEHOLDIN.BO,,,
Rolcon Engineering Co Ltd,ROLCOEN.BO,,,
SNL Bearings Ltd,SNL.BO,,,
Jaipan Industries Ltd,JAIPAN.BO,,,
Mangal Credit and Fincorp Ltd,MANCREDIT.BO,,,
TRF Ltd,TRF.BO,,,
WPIL Ltd,WPIL.BO,,,
Kennametal India Limtied,KENNAMET.BO,,,
HINDUSTAN HARDY Ltd,HINDHARD.BO,,,
Triton Valves Ltd,TRITONV.BO,,,
Prakash Industries Ltd,PRAKASH.BO,,,
HARIYANA VENTURES Ltd,HVL.BO,,,
Prabhu Steel Industries Ltd,ZPRBHSTE.BO,,,
Arshiya Ltd,ARSHIYA.BO,,,
Grindwell Norton Ltd,GRINDWELL.BO,,,
Lakshmi Precision Screws Ltd,LAKPRE.BO,,,
Stanrose Mafatlal Investments & Fin,STANROS.BO,,,
Genesys International Corporation Ltd,GENESYS.BO,,,
Alna Trading & Exports Ltd,ALNATRD.BO,,,
Pankaj Piyush Trade & Inv Ltd,PANKAJPIYUS.BO,,,
Parnax Lab Ltd,PARNAXLAB.BO,,,
Visagar Polytex Ltd,VIVIDHA.BO,,,
Ishwarshakti Holdings & Traders Ltd,ISHWATR.BO,,,
Terraform Magnum Ltd,TERRAFORM.BO,,,
Apis India Ltd,APIS.BO,,,
Khatau Exim Ltd,ZKHATAUE.BO,,,
EMERGENT INDUSTRIAL SOLUTIONS Ltd,EMERGENT.BO,,,
Kanani Industries Ltd,KANANIIND.BO,,,
GALAXY CLOUD KITCHENS Ltd,GCKL.BO,,,
Sarvamangal Mercantile Co Ltd,ZSARVAMA.BO,,,
Arihant Superstructures Ltd,ASL.BO,,,
Viksit Engineering Ltd,VIKSHEN.BO,,,
Bliss GVS Pharma Ltd,BLISSGVS.BO,,,
INEOS Styrolution India Ltd,INEOSSTYRO.BO,,,
Alembic  Ltd,ALEMBICLTD.BO,,,
Amines & Plasticizers Ltd,AMNPLST.BO,,,
Anuh Pharma Ltd,ANUHPHR.BO,,,
Modison Metals Ltd,MODISNME.BO,,,
Bayer CropScience Ltd,BAYERCROP.BO,,,
Sashwat Technocrats Ltd,SASHWAT.BO,,,
Chemo Pharma Laboratories Ltd,CHEMOPH.BO,,,
Clariant Chemicals (India) Ltd,CLNINDIA.BO,,,
